Asset types,Subsidiaries,Versions,Depreciation,Month,Value
,GO Northern Europe,Budget version 1,Depreciation on Existing Items,Mar,241400.56
,GO Northern Europe,Budget version 1,Depreciation on Existing Items,Mar,97600.19
,GO Northern Europe,Budget version 1,Depreciation on Existing Items,Mar,125143.88
,GO Northern Europe,Budget version 1,Depreciation on Existing Items,Mar,51353.75
,GO Northern Europe,Budget version 1,Depreciation on Existing Items,Mar,74613.57
,GO Northern Europe,Budget version 1,Depreciation on Existing Items,Mar,158584.85
,GO Northern Europe,Budget version 1,Depreciation on Existing Items,Mar,432045.41
,GO Northern Europe,Budget version 1,Depreciation on Existing Items,Mar,81151.52
,GO Northern Europe,Budget version 1,Depreciation on Existing Items,Mar,195021.19
,GO Northern Europe,Budget version 1,Depreciation on Existing Items,Mar,78075.62
,GO Northern Europe,Budget version 1,Depreciation on Existing Items,Mar,658887.42
,GO Northern Europe,Budget version 2,Depreciation on Existing Items,Mar,226916.53
,GO Northern Europe,Budget version 2,Depreciation on Existing Items,Mar,91744.18
,GO Northern Europe,Budget version 2,Depreciation on Existing Items,Mar,117635.25
,GO Northern Europe,Budget version 2,Depreciation on Existing Items,Mar,48272.53
,GO Northern Europe,Budget version 2,Depreciation on Existing Items,Mar,70136.76
,GO Northern Europe,Budget version 2,Depreciation on Existing Items,Mar,149069.76
,GO Northern Europe,Budget version 2,Depreciation on Existing Items,Mar,406122.69
,GO Northern Europe,Budget version 2,Depreciation on Existing Items,Mar,76282.43
,GO Northern Europe,Budget version 2,Depreciation on Existing Items,Mar,183319.92
,GO Northern Europe,Budget version 2,Depreciation on Existing Items,Mar,73391.08
,GO Northern Europe,Budget version 2,Depreciation on Existing Items,Mar,619354.17
,GO Southern Europe,Budget version 1,Depreciation on Existing Items,Mar,225009.77
,GO Southern Europe,Budget version 1,Depreciation on Existing Items,Mar,189351.4
,GO Southern Europe,Budget version 1,Depreciation on Existing Items,Mar,310859.65
,GO Southern Europe,Budget version 1,Depreciation on Existing Items,Mar,41986.69
,GO Southern Europe,Budget version 1,Depreciation on Existing Items,Mar,57512.91
,GO Southern Europe,Budget version 1,Depreciation on Existing Items,Mar,332239.9
,GO Southern Europe,Budget version 1,Depreciation on Existing Items,Mar,183099.4
,GO Southern Europe,Budget version 1,Depreciation on Existing Items,Mar,88073.18
,GO Southern Europe,Budget version 1,Depreciation on Existing Items,Mar,130422.16
,GO Southern Europe,Budget version 1,Depreciation on Existing Items,Mar,113665.96
,GO Southern Europe,Budget version 1,Depreciation on Existing Items,Mar,806864.85
,GO Southern Europe,Budget version 2,Depreciation on Existing Items,Mar,220509.57
,GO Southern Europe,Budget version 2,Depreciation on Existing Items,Mar,185564.37
,GO Southern Europe,Budget version 2,Depreciation on Existing Items,Mar,304642.46
,GO Southern Europe,Budget version 2,Depreciation on Existing Items,Mar,41146.96
,GO Southern Europe,Budget version 2,Depreciation on Existing Items,Mar,56362.65
,GO Southern Europe,Budget version 2,Depreciation on Existing Items,Mar,325595.1
,GO Southern Europe,Budget version 2,Depreciation on Existing Items,Mar,179437.41
,GO Southern Europe,Budget version 2,Depreciation on Existing Items,Mar,86311.72
,GO Southern Europe,Budget version 2,Depreciation on Existing Items,Mar,127813.72
,GO Southern Europe,Budget version 2,Depreciation on Existing Items,Mar,111392.64
,GO Southern Europe,Budget version 2,Depreciation on Existing Items,Mar,790727.55
,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,Mar,158725.68
,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,Mar,75954.77
,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,Mar,228339.27
,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,Mar,47724.39
,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,Mar,37078.46
,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,Mar,291984.13
,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,Mar,361498.6
,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,Mar,132917.44
,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,Mar,91875.49
,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,Mar,218662.77
,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,Mar,933355.77
,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,Mar,165074.71
,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,Mar,78992.96
,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,Mar,237472.84
,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,Mar,49633.37
,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,Mar,38561.6
,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,Mar,303663.5
,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,Mar,375958.54
,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,Mar,138234.14
,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,Mar,95550.51
,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,Mar,227409.28
,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,Mar,970690
,GO Americas,Budget version 1,Depreciation on Existing Items,Apr,240685.88
,GO Americas,Budget version 1,Depreciation on Existing Items,Apr,211280.33
,GO Americas,Budget version 1,Depreciation on Existing Items,Apr,278895.16
,GO Americas,Budget version 1,Depreciation on Existing Items,Apr,64461.71
,GO Americas,Budget version 1,Depreciation on Existing Items,Apr,72439.23
,GO Americas,Budget version 1,Depreciation on Existing Items,Apr,384042.31
,GO Americas,Budget version 1,Depreciation on Existing Items,Apr,630593.19
,GO Americas,Budget version 1,Depreciation on Existing Items,Apr,68838.86
,GO Americas,Budget version 1,Depreciation on Existing Items,Apr,225891.54
,GO Americas,Budget version 1,Depreciation on Existing Items,Apr,142759.31
,GO Americas,Budget version 1,Depreciation on Existing Items,Apr,879441.39
,GO Americas,Budget version 2,Depreciation on Existing Items,Apr,249109.89
,GO Americas,Budget version 2,Depreciation on Existing Items,Apr,218675.14
,GO Americas,Budget version 2,Depreciation on Existing Items,Apr,288656.49
,GO Americas,Budget version 2,Depreciation on Existing Items,Apr,66717.87
,GO Americas,Budget version 2,Depreciation on Existing Items,Apr,74974.6
,GO Americas,Budget version 2,Depreciation on Existing Items,Apr,397483.79
,GO Americas,Budget version 2,Depreciation on Existing Items,Apr,652663.95
,GO Americas,Budget version 2,Depreciation on Existing Items,Apr,71248.22
,GO Americas,Budget version 2,Depreciation on Existing Items,Apr,233797.74
,GO Americas,Budget version 2,Depreciation on Existing Items,Apr,147755.89
,GO Americas,Budget version 2,Depreciation on Existing Items,Apr,910221.84
,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,Apr,131901.71
,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,Apr,213413.83
,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,Apr,141441.74
,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,Apr,66266.07
,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,Apr,69254.38
,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,Apr,273858.23
,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,Apr,591959.01
,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,Apr,136783.66
,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,Apr,393218.81
,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,Apr,235058.44
,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,Apr,635566.96
,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,Apr,123987.61
,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,Apr,200609
,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,Apr,132955.24
,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,Apr,62290.11
,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,Apr,65099.12
,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,Apr,257426.74
,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,Apr,556441.47
,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,Apr,128576.64
,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,Apr,369625.68
,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,Apr,220954.93
,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,Apr,597432.94
,GO Central Europe,Budget version 1,Depreciation on Existing Items,Apr,50257.86
,GO Central Europe,Budget version 1,Depreciation on Existing Items,Apr,64731.42
,GO Central Europe,Budget version 1,Depreciation on Existing Items,Apr,139933.82
,GO Central Europe,Budget version 1,Depreciation on Existing Items,Apr,62768.65
,GO Central Europe,Budget version 1,Depreciation on Existing Items,Apr,73492.23
,GO Central Europe,Budget version 1,Depreciation on Existing Items,Apr,295070.19
,GO Central Europe,Budget version 1,Depreciation on Existing Items,Apr,318661.11
,GO Central Europe,Budget version 1,Depreciation on Existing Items,Apr,"131,539.19"
,GO Central Europe,Budget version 1,Depreciation on Existing Items,Apr,281249.43
,GO Central Europe,Budget version 1,Depreciation on Existing Items,Apr,99169.6
,GO Central Europe,Budget version 1,Depreciation on Existing Items,Apr,789555.61
,GO Central Europe,Budget version 2,Depreciation on Existing Items,Apr,50257.86
,GO Central Europe,Budget version 2,Depreciation on Existing Items,Apr,64731.42
,GO Central Europe,Budget version 2,Depreciation on Existing Items,Apr,139933.82
,GO Central Europe,Budget version 2,Depreciation on Existing Items,Apr,65907.08
,GO Central Europe,Budget version 2,Depreciation on Existing Items,Apr,77166.84
,GO Central Europe,Budget version 2,Depreciation on Existing Items,Apr,295070.19
,GO Central Europe,Budget version 2,Depreciation on Existing Items,Apr,318661.11
,GO Central Europe,Budget version 2,Depreciation on Existing Items,Apr,131539.19
,GO Central Europe,Budget version 2,Depreciation on Existing Items,Apr,295311.9
,GO Central Europe,Budget version 2,Depreciation on Existing Items,Apr,104128.08
,GO Central Europe,Budget version 2,Depreciation on Existing Items,Apr,789555.61
,GO Northern Europe,Budget version 1,Depreciation on Existing Items,Apr,241400.56
,GO Northern Europe,Budget version 1,Depreciation on Existing Items,Apr,97600.19
,GO Northern Europe,Budget version 1,Depreciation on Existing Items,Apr,125143.88
,GO Northern Europe,Budget version 1,Depreciation on Existing Items,Apr,51353.75
,GO Northern Europe,Budget version 1,Depreciation on Existing Items,Apr,74613.57
,GO Northern Europe,Budget version 1,Depreciation on Existing Items,Apr,158584.85
,GO Northern Europe,Budget version 1,Depreciation on Existing Items,Apr,432045.41
,GO Northern Europe,Budget version 1,Depreciation on Existing Items,Apr,81151.52
,GO Northern Europe,Budget version 1,Depreciation on Existing Items,Apr,195021.19
,GO Northern Europe,Budget version 1,Depreciation on Existing Items,Apr,78075.62
,GO Northern Europe,Budget version 1,Depreciation on Existing Items,Apr,658887.42
,GO Northern Europe,Budget version 2,Depreciation on Existing Items,Apr,226916.53
,GO Northern Europe,Budget version 2,Depreciation on Existing Items,Apr,91744.18
,GO Northern Europe,Budget version 2,Depreciation on Existing Items,Apr,117635.25
,GO Northern Europe,Budget version 2,Depreciation on Existing Items,Apr,48272.53
,GO Northern Europe,Budget version 2,Depreciation on Existing Items,Apr,70136.76
,GO Northern Europe,Budget version 2,Depreciation on Existing Items,Apr,149069.76
,GO Northern Europe,Budget version 2,Depreciation on Existing Items,Apr,406122.69
,GO Northern Europe,Budget version 2,Depreciation on Existing Items,Apr,76282.43
,GO Northern Europe,Budget version 2,Depreciation on Existing Items,Apr,183319.92
,GO Northern Europe,Budget version 2,Depreciation on Existing Items,Apr,73391.08
,GO Northern Europe,Budget version 2,Depreciation on Existing Items,Apr,619354.17
,GO Southern Europe,Budget version 1,Depreciation on Existing Items,Apr,225009.77
,GO Southern Europe,Budget version 1,Depreciation on Existing Items,Apr,189351.4
,GO Southern Europe,Budget version 1,Depreciation on Existing Items,Apr,310859.65
,GO Southern Europe,Budget version 1,Depreciation on Existing Items,Apr,41986.69
,GO Southern Europe,Budget version 1,Depreciation on Existing Items,Apr,57512.91
,GO Southern Europe,Budget version 1,Depreciation on Existing Items,Apr,332239.9
,GO Southern Europe,Budget version 1,Depreciation on Existing Items,Apr,183099.4
,GO Southern Europe,Budget version 1,Depreciation on Existing Items,Apr,88073.18
,GO Southern Europe,Budget version 1,Depreciation on Existing Items,Apr,130422.16
,GO Southern Europe,Budget version 1,Depreciation on Existing Items,Apr,113665.96
,GO Southern Europe,Budget version 1,Depreciation on Existing Items,Apr,806864.85
,GO Southern Europe,Budget version 2,Depreciation on Existing Items,Apr,220509.57
,GO Southern Europe,Budget version 2,Depreciation on Existing Items,Apr,185564.37
,GO Southern Europe,Budget version 2,Depreciation on Existing Items,Apr,304642.46
,GO Southern Europe,Budget version 2,Depreciation on Existing Items,Apr,41146.96
,GO Southern Europe,Budget version 2,Depreciation on Existing Items,Apr,56362.65
,GO Southern Europe,Budget version 2,Depreciation on Existing Items,Apr,325595.1
,GO Southern Europe,Budget version 2,Depreciation on Existing Items,Apr,179437.41
,GO Southern Europe,Budget version 2,Depreciation on Existing Items,Apr,86311.72
,GO Southern Europe,Budget version 2,Depreciation on Existing Items,Apr,127813.72
,GO Southern Europe,Budget version 2,Depreciation on Existing Items,Apr,111392.64
,GO Southern Europe,Budget version 2,Depreciation on Existing Items,Apr,790727.55
,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,Apr,158725.68
,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,Apr,75954.78
,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,Apr,228339.26
,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,Apr,47724.39
,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,Apr,37078.47
,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,Apr,291984.12
,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,Apr,361498.6
,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,Apr,132917.43
,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,Apr,91875.48
,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,Apr,218662.78
,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,Apr,933355.77
,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,Apr,165074.71
,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,Apr,78992.97
,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,Apr,237472.83
,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,Apr,49633.37
,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,Apr,38561.61
,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,Apr,303663.48
,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,Apr,375958.54
,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,Apr,138234.13
,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,Apr,95550.5
,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,Apr,227409.29
,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,May,970690
,GO Americas,Budget version 1,Depreciation on Existing Items,May,240685.88
,GO Americas,Budget version 1,Depreciation on Existing Items,May,211280.33
,GO Americas,Budget version 1,Depreciation on Existing Items,May,278895.16
,GO Americas,Budget version 1,Depreciation on Existing Items,May,64461.71
,GO Americas,Budget version 1,Depreciation on Existing Items,May,72439.23
,GO Americas,Budget version 1,Depreciation on Existing Items,May,384042.31
,GO Americas,Budget version 1,Depreciation on Existing Items,May,630593.19
,GO Americas,Budget version 1,Depreciation on Existing Items,May,68838.86
,GO Americas,Budget version 1,Depreciation on Existing Items,May,225891.54
,GO Americas,Budget version 1,Depreciation on Existing Items,May,142759.31
,GO Americas,Budget version 1,Depreciation on Existing Items,May,879441.39
,GO Americas,Budget version 2,Depreciation on Existing Items,May,249109.89
,GO Americas,Budget version 2,Depreciation on Existing Items,May,218675.14
,GO Americas,Budget version 2,Depreciation on Existing Items,May,288656.49
,GO Americas,Budget version 2,Depreciation on Existing Items,May,66717.87
,GO Americas,Budget version 2,Depreciation on Existing Items,May,74974.6
,GO Americas,Budget version 2,Depreciation on Existing Items,May,397483.79
,GO Americas,Budget version 2,Depreciation on Existing Items,May,652663.95
,GO Americas,Budget version 2,Depreciation on Existing Items,May,71248.22
,GO Americas,Budget version 2,Depreciation on Existing Items,May,233797.74
,GO Americas,Budget version 2,Depreciation on Existing Items,May,147755.89
,GO Americas,Budget version 2,Depreciation on Existing Items,May,910221.84
,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,May,131901.71
,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,May,213413.83
,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,May,141441.74
,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,May,66266.07
,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,May,69254.38
,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,May,273858.23
,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,May,591959.01
,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,May,136783.66
,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,May,393218.81
,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,May,235058.44
,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,May,635566.96
,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,May,123987.61
,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,May,200609
,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,May,132955.24
,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,May,62290.11
,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,May,65099.12
,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,May,257426.74
,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,May,556441.47
,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,May,128576.64
,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,May,369625.68
,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,May,220954.93
,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,May,597432.94
,GO Central Europe,Budget version 1,Depreciation on Existing Items,May,50257.86
,GO Central Europe,Budget version 1,Depreciation on Existing Items,May,64731.42
,GO Central Europe,Budget version 1,Depreciation on Existing Items,May,139933.82
,GO Central Europe,Budget version 1,Depreciation on Existing Items,May,62768.65
,GO Central Europe,Budget version 1,Depreciation on Existing Items,May,73492.23
,GO Central Europe,Budget version 1,Depreciation on Existing Items,May,295070.19
,GO Central Europe,Budget version 1,Depreciation on Existing Items,May,318661.11
,GO Central Europe,Budget version 1,Depreciation on Existing Items,May,"131,539.19"
,GO Central Europe,Budget version 1,Depreciation on Existing Items,May,281249.43
,GO Central Europe,Budget version 1,Depreciation on Existing Items,May,99169.6
,GO Central Europe,Budget version 1,Depreciation on Existing Items,May,789555.61
,GO Central Europe,Budget version 2,Depreciation on Existing Items,May,50257.86
,GO Central Europe,Budget version 2,Depreciation on Existing Items,May,64731.42
,GO Central Europe,Budget version 2,Depreciation on Existing Items,May,139933.82
,GO Central Europe,Budget version 2,Depreciation on Existing Items,May,65907.08
,GO Central Europe,Budget version 2,Depreciation on Existing Items,May,77166.84
,GO Central Europe,Budget version 2,Depreciation on Existing Items,May,295070.19
,GO Central Europe,Budget version 2,Depreciation on Existing Items,May,318661.11
,GO Central Europe,Budget version 2,Depreciation on Existing Items,May,131539.19
,GO Central Europe,Budget version 2,Depreciation on Existing Items,May,295311.9
,GO Central Europe,Budget version 2,Depreciation on Existing Items,May,104128.08
,GO Central Europe,Budget version 2,Depreciation on Existing Items,May,789555.61
,GO Northern Europe,Budget version 1,Depreciation on Existing Items,May,241400.56
,GO Northern Europe,Budget version 1,Depreciation on Existing Items,May,97600.19
,GO Northern Europe,Budget version 1,Depreciation on Existing Items,May,125143.88
,GO Northern Europe,Budget version 1,Depreciation on Existing Items,May,51353.75
,GO Northern Europe,Budget version 1,Depreciation on Existing Items,May,74613.57
,GO Northern Europe,Budget version 1,Depreciation on Existing Items,May,158584.85
,GO Northern Europe,Budget version 1,Depreciation on Existing Items,May,432045.41
,GO Northern Europe,Budget version 1,Depreciation on Existing Items,May,81151.52
,GO Northern Europe,Budget version 1,Depreciation on Existing Items,May,195021.19
,GO Northern Europe,Budget version 1,Depreciation on Existing Items,May,78075.62
,GO Northern Europe,Budget version 1,Depreciation on Existing Items,May,658887.42
,GO Northern Europe,Budget version 2,Depreciation on Existing Items,May,226916.53
,GO Northern Europe,Budget version 2,Depreciation on Existing Items,May,91744.18
,GO Northern Europe,Budget version 2,Depreciation on Existing Items,May,117635.25
,GO Northern Europe,Budget version 2,Depreciation on Existing Items,May,48272.53
,GO Northern Europe,Budget version 2,Depreciation on Existing Items,May,70136.76
,GO Northern Europe,Budget version 2,Depreciation on Existing Items,May,149069.76
,GO Northern Europe,Budget version 2,Depreciation on Existing Items,May,406122.69
,GO Northern Europe,Budget version 2,Depreciation on Existing Items,May,76282.43
,GO Northern Europe,Budget version 2,Depreciation on Existing Items,May,183319.92
,GO Northern Europe,Budget version 2,Depreciation on Existing Items,May,73391.08
,GO Northern Europe,Budget version 2,Depreciation on Existing Items,May,619354.17
,GO Southern Europe,Budget version 1,Depreciation on Existing Items,May,225009.77
,GO Southern Europe,Budget version 1,Depreciation on Existing Items,May,189351.4
,GO Southern Europe,Budget version 1,Depreciation on Existing Items,May,310859.65
,GO Southern Europe,Budget version 1,Depreciation on Existing Items,May,41986.69
,GO Southern Europe,Budget version 1,Depreciation on Existing Items,May,57512.91
,GO Southern Europe,Budget version 1,Depreciation on Existing Items,May,332239.9
,GO Southern Europe,Budget version 1,Depreciation on Existing Items,May,183099.4
,GO Southern Europe,Budget version 1,Depreciation on Existing Items,May,88073.18
,GO Southern Europe,Budget version 1,Depreciation on Existing Items,May,130422.16
,GO Southern Europe,Budget version 1,Depreciation on Existing Items,May,113665.96
,GO Southern Europe,Budget version 1,Depreciation on Existing Items,May,806864.85
,GO Southern Europe,Budget version 2,Depreciation on Existing Items,May,220509.57
,GO Southern Europe,Budget version 2,Depreciation on Existing Items,May,185564.37
,GO Southern Europe,Budget version 2,Depreciation on Existing Items,May,304642.46
,GO Southern Europe,Budget version 2,Depreciation on Existing Items,May,41146.96
,GO Southern Europe,Budget version 2,Depreciation on Existing Items,May,56362.65
,GO Southern Europe,Budget version 2,Depreciation on Existing Items,May,325595.1
,GO Southern Europe,Budget version 2,Depreciation on Existing Items,May,179437.41
,GO Southern Europe,Budget version 2,Depreciation on Existing Items,May,86311.72
,GO Southern Europe,Budget version 2,Depreciation on Existing Items,May,127813.72
,GO Southern Europe,Budget version 2,Depreciation on Existing Items,May,111392.64
,GO Southern Europe,Budget version 2,Depreciation on Existing Items,May,790727.55
,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,May,158725.68
,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,May,75954.78
,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,May,228339.27
,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,May,47724.38
,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,May,37078.46
,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,May,291984.13
,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,May,361498.59
,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,May,132917.44
,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,May,91875.48
,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,May,218662.77
,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,May,933355.77
,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,May,165074.71
,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,May,78992.97
,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,May,237472.84
,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,May,49633.36
,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,May,38561.6
,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,May,303663.5
,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,May,375958.53
,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,May,138234.14
,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,May,95550.5
,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,May,227409.28
,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,May,970690
,GO Americas,Budget version 1,Depreciation on Existing Items,Jun,240685.88
,GO Americas,Budget version 1,Depreciation on Existing Items,Jun,211280.33
,GO Americas,Budget version 1,Depreciation on Existing Items,Jun,278895.16
,GO Americas,Budget version 1,Depreciation on Existing Items,Jun,64461.71
,GO Americas,Budget version 1,Depreciation on Existing Items,Jun,72439.23
,GO Americas,Budget version 1,Depreciation on Existing Items,Jun,384042.31
,GO Americas,Budget version 1,Depreciation on Existing Items,Jun,630593.19
,GO Americas,Budget version 1,Depreciation on Existing Items,Jun,68838.86
,GO Americas,Budget version 1,Depreciation on Existing Items,Jun,225891.54
,GO Americas,Budget version 1,Depreciation on Existing Items,Jun,142759.31
,GO Americas,Budget version 1,Depreciation on Existing Items,Jun,879441.39
,GO Americas,Budget version 2,Depreciation on Existing Items,Jun,249109.89
,GO Americas,Budget version 2,Depreciation on Existing Items,Jun,218675.14
,GO Americas,Budget version 2,Depreciation on Existing Items,Jun,288656.49
,GO Americas,Budget version 2,Depreciation on Existing Items,Jun,66717.87
,GO Americas,Budget version 2,Depreciation on Existing Items,Jun,74974.6
,GO Americas,Budget version 2,Depreciation on Existing Items,Jun,397483.79
,GO Americas,Budget version 2,Depreciation on Existing Items,Jun,652663.95
,GO Americas,Budget version 2,Depreciation on Existing Items,Jun,71248.22
,GO Americas,Budget version 2,Depreciation on Existing Items,Jun,233797.74
,GO Americas,Budget version 2,Depreciation on Existing Items,Jun,147755.89
,GO Americas,Budget version 2,Depreciation on Existing Items,Jun,910221.84
,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,Jun,131901.71
,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,Jun,213413.83
,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,Jun,141441.74
,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,Jun,66266.07
,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,Jun,69254.38
,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,Jun,273858.23
,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,Jun,591959.01
,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,Jun,136783.66
,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,Jun,393218.81
,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,Jun,235058.44
,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,Jun,635566.96
,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,Jun,123987.61
,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,Jun,200609
,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,Jun,132955.24
,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,Jun,62290.11
,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,Jun,65099.12
,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,Jun,257426.74
,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,Jun,556441.47
,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,Jun,128576.64
,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,Jun,369625.68
,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,Jun,220954.93
,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,Jun,597432.94
,GO Central Europe,Budget version 1,Depreciation on Existing Items,Jun,50257.86
,GO Central Europe,Budget version 1,Depreciation on Existing Items,Jun,64731.42
